41_pcb,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,False,False,False,False,False,False,True
flipped_horizontal,False,True,False,False,False,False,False,False
flipped_vertical,False,False,False,False,True,False,False,False
good_crop,False,False,False,False,True,False,True,True
grayscale,False,False,False,False,False,False,False,False
high_quality,True,True,True,True,True,True,True,True
images_base,True,True,False,False,False,False,False,False
jpeg_artifacts,False,False,False,False,False,False,False,False
occluded,False,True,False,False,False,False,False,False
overexposed,True,True,True,False,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,True,True,False,False,True,False,False,True
tint_green,True,True,False,False,False,False,False,False
tint_red,False,False,False,False,False,False,False,False
underexposed,False,False,False,False,False,False,False,True
