54_soap_bottle,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,False,True,True,False,True,True
cut_object_crop,False,False,False,False,True,False,True,True
flipped_horizontal,True,True,True,True,True,False,True,True
flipped_vertical,False,True,False,True,True,False,False,False
good_crop,True,True,True,True,True,True,True,True
grayscale,True,True,True,True,True,True,True,False
high_quality,True,True,True,True,True,False,True,True
images_base,True,True,True,True,True,False,True,True
jpeg_artifacts,True,True,True,True,True,False,True,True
occluded,True,True,True,True,True,False,True,True
overexposed,True,True,True,True,True,False,True,True
rotated,True,False,False,True,True,False,True,True
salt_pepper_noise,True,True,True,True,True,False,True,False
tint_blue,True,True,True,True,True,False,True,True
tint_green,True,True,True,True,True,False,True,True
tint_red,True,True,True,True,True,False,True,True
underexposed,True,True,True,True,True,False,True,True
