prompt,model,image_folder,image_name,model_response,correct_object_names,success,response_time
What is the object in the image? Answer with a single word.,llava,images_base,01.jpg, Robot ,mug; cup,False,1.8925049304962158
What is the object in the image? Answer with a single word.,llava,images_base,02.jpg, Robot ,mug; cup,False,0.46059107780456543
What is the object in the image? Answer with a single word.,llava,images_base,03.jpg, Robot ,mug; cup,False,0.45932555198669434
What is the object in the image? Answer with a single word.,llava,images_base,04.jpg, Robot ,mug; cup,False,0.4614293575286865
What is the object in the image? Answer with a single word.,llava,images_base,05.jpg, Robot ,sponge,False,0.46196985244750977
What is the object in the image? Answer with a single word.,llava,images_base,06.jpg, Robot ,sponge,False,0.4626946449279785
What is the object in the image? Answer with a single word.,llava,images_base,07.jpg, Robot ,sponge,False,0.4614369869232178
What is the object in the image? Answer with a single word.,llava,images_base,08.jpg, Machine ,sponge,False,0.44676876068115234
What is the object in the image? Answer with a single word.,llava,images_base,09.jpg, Glove ,gloves; glove,True,0.46323323249816895
What is the object in the image? Answer with a single word.,llava,images_base,10.jpg, Glove ,gloves; glove,True,0.46300435066223145
What is the object in the image? Answer with a single word.,llava,images_base,11.jpg, Glove ,gloves; glove,True,0.4640979766845703
What is the object in the image? Answer with a single word.,llava,images_base,12.jpg, Glove ,gloves; glove,True,0.4628443717956543
What is the object in the image? Answer with a single word.,llava,images_base,13.jpg, Robot ,plate; dish; tray,False,0.46274232864379883
What is the object in the image? Answer with a single word.,llava,images_base,14.jpg, Stool ,plate; dish; tray,False,0.4622490406036377
What is the object in the image? Answer with a single word.,llava,images_base,15.jpg, Robot ,plate; dish; tray,False,0.4629523754119873
What is the object in the image? Answer with a single word.,llava,images_base,16.jpg, Sink ,plate; dish; tray,False,0.4635658264160156
What is the object in the image? Answer with a single word.,llava,images_base,17.jpg, Robot ,fan,False,0.46372342109680176
What is the object in the image? Answer with a single word.,llava,images_base,18.jpg, Robot ,fan,False,0.463503360748291
What is the object in the image? Answer with a single word.,llava,images_base,19.jpg, Robot ,fan,False,0.4628183841705322
