,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,22,17,15,30,15,18,22,24
cut_object_crop,26,29,13,28,34,20,33,35
flipped_horizontal,34,32,25,38,24,22,28,27
flipped_vertical,27,29,24,41,21,16,22,25
good_crop,37,33,33,38,36,31,38,37
grayscale,34,34,24,39,19,22,22,20
high_quality,40,40,30,49,26,28,35,31
images_base,36,36,28,40,27,27,26,27
jpeg_artifacts,29,27,21,38,23,25,28,29
occluded,30,33,24,37,20,23,25,25
overexposed,29,24,27,39,24,23,26,28
rotated,28,28,18,39,14,16,20,24
salt_pepper_noise,24,25,19,33,14,24,25,26
tint_blue,35,30,24,41,27,24,24,27
tint_green,32,33,24,41,25,27,24,29
tint_red,32,31,23,39,28,24,28,26
underexposed,31,33,24,39,25,27,27,26
