11_gloves,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,True,True,True
cut_object_crop,True,True,False,True,False,True,False,True
flipped_horizontal,True,True,True,True,True,True,True,True
flipped_vertical,True,True,True,True,False,False,True,True
good_crop,True,True,True,True,True,True,True,True
grayscale,True,True,True,True,False,True,True,True
high_quality,True,True,True,True,True,True,True,True
images_base,True,True,True,True,True,True,True,True
jpeg_artifacts,True,False,True,True,True,True,True,True
occluded,True,True,True,True,False,True,True,True
overexposed,True,True,True,True,True,True,True,True
rotated,True,True,False,True,False,False,False,True
salt_pepper_noise,True,False,True,True,False,True,True,True
tint_blue,True,True,True,True,True,True,False,True
tint_green,True,True,True,True,True,True,True,True
tint_red,True,True,True,True,True,True,True,True
underexposed,True,True,True,True,True,True,True,True
