44_pcb,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,True,True,True,False,False,True,True
flipped_horizontal,False,True,False,True,False,False,False,False
flipped_vertical,False,True,False,True,False,False,False,True
good_crop,True,True,False,False,True,False,True,True
grayscale,True,True,False,True,False,False,False,False
high_quality,True,True,True,True,False,False,False,False
images_base,True,True,True,True,False,False,False,False
jpeg_artifacts,True,True,False,False,False,False,False,False
occluded,False,True,False,True,False,False,False,False
overexposed,True,True,True,True,False,False,False,False
rotated,False,False,False,True,False,False,False,False
salt_pepper_noise,True,True,True,False,False,False,False,False
tint_blue,True,True,False,True,False,False,False,False
tint_green,True,True,True,False,False,False,False,False
tint_red,True,True,True,False,False,False,False,False
underexposed,False,True,False,False,False,False,False,False
