42_pcb,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,True,True,True,True,True,False,True,True
flipped_horizontal,True,True,True,True,True,False,True,True
flipped_vertical,True,True,True,True,True,False,True,True
good_crop,True,True,True,True,False,True,True,True
grayscale,True,True,False,True,False,True,False,False
high_quality,False,True,False,True,False,True,True,True
images_base,True,True,True,True,False,True,False,True
jpeg_artifacts,True,True,True,True,False,True,False,True
occluded,True,True,True,True,False,True,False,True
overexposed,True,False,True,True,False,True,False,True
rotated,True,True,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,True
tint_blue,True,True,True,True,False,True,False,True
tint_green,True,True,True,True,True,True,False,True
tint_red,True,True,False,False,False,True,False,True
underexposed,True,True,False,True,False,True,False,False
