prompt,model,image_folder,image_name,model_response,correct_object_names,success,response_time
What is the object in the image? Answer with a single word.,llava,images_base,01.jpg, Robot ,mug; cup,False,1.89250493049622
What is the object in the image? Answer with a single word.,llava,images_base,02.jpg, Robot ,mug; cup,False,0.460591077804565
What is the object in the image? Answer with a single word.,llava,images_base,03.jpg, Robot ,mug; cup,False,0.459325551986694
What is the object in the image? Answer with a single word.,llava,images_base,04.jpg, Robot ,mug; cup,False,0.461429357528687
What is the object in the image? Answer with a single word.,llava,images_base,05.jpg, Robot ,sponge,False,0.46196985244751
What is the object in the image? Answer with a single word.,llava,images_base,06.jpg, Robot ,sponge,False,0.462694644927979
What is the object in the image? Answer with a single word.,llava,images_base,07.jpg, Robot ,sponge,False,0.461436986923218
What is the object in the image? Answer with a single word.,llava,images_base,08.jpg, Machine ,sponge,False,0.446768760681152
What is the object in the image? Answer with a single word.,llava,images_base,09.jpg, Glove ,gloves; glove,True,0.463233232498169
What is the object in the image? Answer with a single word.,llava,images_base,10.jpg, Glove ,gloves; glove,True,0.463004350662231
What is the object in the image? Answer with a single word.,llava,images_base,11.jpg, Glove ,gloves; glove,True,0.46409797668457
What is the object in the image? Answer with a single word.,llava,images_base,12.jpg, Glove ,gloves; glove,True,0.462844371795654
What is the object in the image? Answer with a single word.,llava,images_base,13.jpg, Robot ,plate; dish; tray,False,0.462742328643799
What is the object in the image? Answer with a single word.,llava,images_base,14.jpg, Stool ,plate; dish; tray,False,0.462249040603638
What is the object in the image? Answer with a single word.,llava,images_base,15.jpg, Robot ,plate; dish; tray,False,0.462952375411987
What is the object in the image? Answer with a single word.,llava,images_base,16.jpg, Sink ,plate; dish; tray,False,0.463565826416016
What is the object in the image? Answer with a single word.,llava,images_base,17.jpg, Robot ,fan,False,0.463723421096802
What is the object in the image? Answer with a single word.,llava,images_base,18.jpg, Robot ,fan,False,0.463503360748291
What is the object in the image? Answer with a single word.,llava,images_base,19.jpg, Robot ,fan,False,0.462818384170532
What is the object in the image? Answer with a single word.,llava,images_base,20.jpg, Robot ,fan,False,0.463716983795166
What is the object in the image? Answer with a single word.,llava,images_base,21.jpg, Robot ,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.464099884033203
What is the object in the image? Answer with a single word.,llava,images_base,22.jpg, Robot ,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.462468385696411
What is the object in the image? Answer with a single word.,llava,images_base,23.jpg, Robot ,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.461854219436646
What is the object in the image? Answer with a single word.,llava,images_base,24.jpg, Robot ,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.462697505950928
What is the object in the image? Answer with a single word.,llava,images_base,25.jpg, Robot ,controller,False,0.465954065322876
What is the object in the image? Answer with a single word.,llava,images_base,26.jpg, Robot ,controller,False,0.461568593978882
What is the object in the image? Answer with a single word.,llava,images_base,27.jpg, Robot ,controller,False,0.460783958435059
What is the object in the image? Answer with a single word.,llava,images_base,28.jpg, Camera ,controller,False,0.445786714553833
What is the object in the image? Answer with a single word.,llava,images_base,29.jpg, Robot ,cloth; fabric; clothing,False,0.464174270629883
What is the object in the image? Answer with a single word.,llava,images_base,30.jpg, Robot ,cloth; fabric; clothing,False,0.463052272796631
What is the object in the image? Answer with a single word.,llava,images_base,31.jpg, Robot ,cloth; fabric; clothing,False,0.464066743850708
What is the object in the image? Answer with a single word.,llava,images_base,32.jpg, Robot ,cloth; fabric; clothing,False,0.463671684265137
What is the object in the image? Answer with a single word.,llava,images_base,33.jpg, Robot ,mouse,False,0.46427321434021
What is the object in the image? Answer with a single word.,llava,images_base,34.jpg, Robot ,mouse,False,0.46288013458252
What is the object in the image? Answer with a single word.,llava,images_base,35.jpg, Robot ,mouse,False,0.462714910507202
What is the object in the image? Answer with a single word.,llava,images_base,36.jpg, Robot ,mouse,False,0.462963581085205
What is the object in the image? Answer with a single word.,llava,images_base,37.jpg, Robot ,screwdriver,False,0.464664697647095
What is the object in the image? Answer with a single word.,llava,images_base,38.jpg, Robot ,screwdriver,False,0.463357448577881
What is the object in the image? Answer with a single word.,llava,images_base,39.jpg, Robot ,screwdriver,False,0.461799621582031
What is the object in the image? Answer with a single word.,llava,images_base,40.jpg, Robot ,screwdriver,False,0.462215423583984
What is the object in the image? Answer with a single word.,llava,images_base,41.jpg, Robot ,pcb; circuit board; pcie,False,0.463808536529541
What is the object in the image? Answer with a single word.,llava,images_base,42.jpg, Robot ,pcb; circuit board; pcie,False,0.463931798934937
What is the object in the image? Answer with a single word.,llava,images_base,43.jpg, Robot ,pcb; circuit board; pcie,False,0.463491916656494
What is the object in the image? Answer with a single word.,llava,images_base,44.jpg, Camera ,pcb; circuit board; pcie,False,0.44697380065918
What is the object in the image? Answer with a single word.,llava,images_base,45.jpg, Robot ,cleaning foam; cleaning solution,False,0.464103698730469
What is the object in the image? Answer with a single word.,llava,images_base,46.jpg, Robot ,cleaning foam; cleaning solution,False,0.465091943740845
What is the object in the image? Answer with a single word.,llava,images_base,47.jpg, Camera ,cleaning foam; cleaning solution,False,0.449726104736328
What is the object in the image? Answer with a single word.,llava,images_base,48.jpg, Camera ,cleaning foam; cleaning solution,False,0.448608875274658
What is the object in the image? Answer with a single word.,llava,images_base,49.jpg, Mug ,mug; cup,True,0.464094161987305
What is the object in the image? Answer with a single word.,llava,images_base,50.jpg, Sponge ,sponge,True,0.478740692138672
What is the object in the image? Answer with a single word.,llava,images_base,51.jpg, Glove ,gloves; glove,True,0.46322512626648
What is the object in the image? Answer with a single word.,llava,images_base,52.jpg, Tray ,plate; dish; tray,True,0.463286876678467
What is the object in the image? Answer with a single word.,llava,images_base,53.jpg, Fan ,fan,True,0.464805841445923
What is the object in the image? Answer with a single word.,llava,images_base,54.jpg, Soap dispenser ,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.509403705596924
