15_plate,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,False,False,False,False,False,False,False
cut_object_crop,False,True,False,False,False,False,False,False
flipped_horizontal,True,False,True,False,False,False,False,False
flipped_vertical,False,False,False,False,False,False,False,False
good_crop,True,False,True,False,True,False,False,True
grayscale,True,False,False,False,False,False,False,False
high_quality,False,False,False,False,False,False,False,False
images_base,False,True,False,False,False,False,False,False
jpeg_artifacts,False,False,False,False,False,False,False,False
occluded,False,False,False,False,False,False,False,False
overexposed,False,False,False,False,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,False,False,False,False,False,False,False,False
tint_green,True,False,False,False,False,False,False,False
tint_red,False,True,False,False,False,False,False,False
underexposed,False,False,False,False,False,False,False,False
