model_name,image_path,image_name,path_rank,suffix_text,first_token_prob,suffix_prob,avg_suffix_prob,suffix_perplexity,full_rank_sequence,num_suffix_tokens,suffix_token_id_probs,runtime
LlaVA 7B,dataset_vlm_0328\01.jpg,01.jpg,1,coffee mug.,0.35249862074851984,0.17631258543711426,0.6479937670600764,1.5432247204119922,"(1, 1, 1, 1)",4,7045:0.3525;290:0.5277;786:1.0000;28723:0.9479,57.25859570503235
LlaVA 7B,dataset_vlm_0328\01.jpg,01.jpg,2,coffee cup.,0.35249862074851984,0.15356458657223285,0.5355051990629903,1.8673955019480066,"(1, 2, 1)",3,7045:0.3525;6211:0.4686;28723:0.9296,57.25859570503235
LlaVA 7B,dataset_vlm_0328\01.jpg,01.jpg,3,mug.,0.16345331072807312,0.1495002515471358,0.5307385592113887,1.8841668513512102,"(2, 1, 1)",3,290:0.1635;786:0.9997;28723:0.9149,57.25859570503235
LlaVA 7B,dataset_vlm_0328\02.jpg,02.jpg,1,coffee cup.,0.2555001676082611,0.191468753167009,0.5763672598833157,1.7350048651313883,"(2, 1, 1)",3,7045:0.2555;6211:0.8076;28723:0.9279,56.00232791900635
LlaVA 7B,dataset_vlm_0328\02.jpg,02.jpg,2,cup.,0.2665770947933197,0.22653036440449092,0.47595206103607846,2.1010519375063645,"(1, 1)",2,6211:0.2666;28723:0.8498,56.00232791900635
LlaVA 7B,dataset_vlm_0328\02.jpg,02.jpg,3,mug.,0.08250033855438234,0.07516433708072391,0.42202412409112855,2.369532789514345,"(3, 1, 1)",3,290:0.0825;786:0.9989;28723:0.9121,56.00232791900635
LlaVA 7B,dataset_vlm_0328\03.jpg,03.jpg,1,coffee cup.,0.45287230610847473,0.26880569289264233,0.6453760144669729,1.5494842968806597,"(1, 1, 1)",3,7045:0.4529;6211:0.6444;28723:0.9211,56.201483964920044
LlaVA 7B,dataset_vlm_0328\03.jpg,03.jpg,2,coffee mug.,0.45287230610847473,0.15033102088243283,0.6226760355390937,1.6059715533041687,"(1, 2, 1, 1)",4,7045:0.4529;290:0.3517;786:1.0000;28723:0.9439,56.201483964920044
LlaVA 7B,dataset_vlm_0328\03.jpg,03.jpg,3,cup.,0.18063095211982727,0.14820940024090135,0.38497974003952645,2.597539288424187,"(2, 1)",2,6211:0.1806;28723:0.8205,56.201483964920044
LlaVA 7B,dataset_vlm_0328\04.jpg,04.jpg,1,coffee cup.,0.19607065618038177,0.12911182328884596,0.505423391997988,1.9785392125340744,"(2, 1, 1)",3,7045:0.1961;6211:0.7180;28723:0.9171,56.32533359527588
LlaVA 7B,dataset_vlm_0328\04.jpg,04.jpg,2,cup.,0.28541067242622375,0.24816564611042932,0.4981622688546668,2.0073780422975767,"(1, 1)",2,6211:0.2854;28723:0.8695,56.32533359527588
LlaVA 7B,dataset_vlm_0328\04.jpg,04.jpg,3,mug.,0.11197837442159653,0.10168428674039114,0.46675031051671545,2.142473132782603,"(3, 1, 1)",3,290:0.1120;786:0.9995;28723:0.9085,56.32533359527588
