01.png,PC fan,2
02.png,Black mug (upright),1
03.png,black mug (sideways),1
04.png,Yellow and white gloves,1
05.png,Sponge,1
06.png,gray gloves,1
07.png,Soap,1
08.png,Allen keys (green),2
09.png,3D printed cylinder (low pos),1
10.png,3D printed cylinder (high pos),1
11.png,3D printed cylinder (middle pos),1
12.png,3D printed cylinder (altern. view),1
13.png,Black PCIe (barely visible),2
14.png,Black PCIe (visible),2
15.png,Metal bar,2
16.png,Headphones,2
17.png,Gray sponge,1
18.png,Cleaning foam (front),1
19.png,Cleaning foam (back),1
20.png,Drill,2
21.png,Screwdriver (side view),2
22.png,Screndriver (top view),2
23.png,Steel wool,1
24.png,Cloth 1,3
25.png,Cloth 2,3
26.png,Empty paper plate,3
27.png,Metal part,2
28.png,Tippex (front),1
29.png,Tippex (back),1
30.png,Stapler,2
31.png,3D printed part (square),1
32.png,Allen keys (orange),2
33.png,Yellow brick with holes,2
34.png,White/blue mug,1
35.png,Power cords,2
36.png,Plastic bag,3
37.png,Xbox 360 controller,2
38.png,Empty biscuit box (out of frame),3
39.png,Wired mouse,2
40.png,Empty biscuit box (opening),3
41.png,Empty biscuit box (front),3
42.png,Empty biscuit box (back),3
43.png,3D printed handle,1
44.png,Toilet roll,3
45.png,Tracking thing,1
